Date,WeeklyDemand
2021-01-03,506.9
2021-01-10,504.6
2021-01-17,482.8
2021-01-24,503.5
2021-01-31,553.4
2021-02-07,546.6
2021-02-14,582.9
2021-02-21,530.1
2021-02-28,555.9
2021-03-07,584.8
2021-03-14,554.7
2021-03-21,560.0
2021-03-28,566.8
2021-04-04,566.1
2021-04-11,587.2
2021-04-18,541.8
2021-04-25,610.4
2021-05-02,557.8
2021-05-09,533.4
2021-05-16,573.8
2021-05-23,564.1
2021-05-30,565.2
2021-06-06,571.8
2021-06-13,574.9
2021-06-20,591.9
2021-06-27,540.3
2021-07-04,565.5
2021-07-11,560.1
2021-07-18,489.1
2021-07-25,521.4
2021-08-01,508.7
2021-08-08,540.2
2021-08-15,535.1
2021-08-22,533.2
2021-08-29,518.1
2021-09-05,518.9
2021-09-12,521.9
2021-09-19,514.6
2021-09-26,539.0
2021-10-03,503.6
2021-10-10,511.7
2021-10-17,532.7
2021-10-24,526.7
2021-10-31,516.2
2021-11-07,554.1
2021-11-14,537.7
2021-11-21,538.4
2021-11-28,558.5
2021-12-05,551.2
2021-12-12,575.8
2021-12-19,577.0
2021-12-26,581.8
2022-01-02,589.9
2022-01-09,627.9
2022-01-16,623.2
2022-01-23,589.3
2022-01-30,648.6
2022-02-06,648.3
2022-02-13,653.8
2022-02-20,668.6
2022-02-27,656.8
2022-03-06,674.0
2022-03-13,656.7
2022-03-20,686.7
2022-03-27,677.1
2022-04-03,647.5
2022-04-10,697.3
2022-04-17,674.8
2022-04-24,672.2
2022-05-01,668.1
2022-05-08,668.4
2022-05-15,678.6
2022-05-22,651.9
2022-05-29,637.4
2022-06-05,644.3
2022-06-12,669.6
2022-06-19,654.9
2022-06-26,676.4
2022-07-03,728.7
2022-07-10,742.7
2022-07-17,708.0
2022-07-24,709.3
2022-07-31,714.6
2022-08-07,708.3
2022-08-14,703.6
2022-08-21,688.6
2022-08-28,672.5
2022-09-04,715.7
2022-09-11,712.9
2022-09-18,690.3
2022-09-25,711.0
2022-10-02,701.7
2022-10-09,729.4
2022-10-16,684.1
2022-10-23,711.5
2022-10-30,714.3
2022-11-06,726.7
2022-11-13,759.9
2022-11-20,732.8
2022-11-27,756.8
2022-12-04,746.1
2022-12-11,777.9
2022-12-18,779.2
2022-12-25,765.4
2023-01-01,771.9
2023-01-08,797.7
2023-01-15,782.7
2023-01-22,807.3
2023-01-29,803.8
2023-02-05,825.4
2023-02-12,821.5
2023-02-19,817.0
2023-02-26,858.6
2023-03-05,846.4
2023-03-12,844.9
2023-03-19,858.1
2023-03-26,819.3
2023-04-02,896.8
2023-04-09,857.1
2023-04-16,818.1
2023-04-23,881.5
2023-04-30,841.9
2023-05-07,876.6
2023-05-14,856.4
2023-05-21,820.2
2023-05-28,854.0
2023-06-04,849.3
2023-06-11,865.0
2023-06-18,848.6
2023-06-25,809.3
2023-07-02,850.0
2023-07-09,817.6
2023-07-16,856.3
2023-07-23,810.9
2023-07-30,810.2
2023-08-06,794.8
2023-08-13,798.4
2023-08-20,790.8
2023-08-27,827.8
2023-09-03,776.4
2023-09-10,818.6
2023-09-17,819.2
2023-09-24,831.0
2023-10-01,805.9
2023-10-08,786.8
2023-10-15,806.9
2023-10-22,825.9
2023-10-29,820.1
2023-11-05,830.8
2023-11-12,856.4
2023-11-19,846.9
2023-11-26,846.0
2023-12-03,812.2
2023-12-10,840.8
2023-12-17,856.1
2023-12-24,832.5
2023-12-31,857.8
