CustomerID,OrderDate,ProductDescription,Quantity,Price,Rating
115,2023-08-28,Laptop,1,734,2
119,2023-08-31,Keyboard,999,862,1
114,2023-08-25,Smartwatch,9,979,1
103,2023-08-21,Laptop,5,926,3
110,2023-09-04,Smartphone,7,1934,2
118,2023-08-26,Headphones,NA,1864,2
122,2023-08-29,Headphones,7,1031,4
111,2023-08-24,Keyboard,2,1975,1
105,2023-08-27,Keyboard,8,199,4
120,2023-08-21,Tablet,4,1686,2
114,2023-08-23,Keyboard,4,815,3
122,2023-08-23,Keyboard,3,1463,5
125,2023-08-24,Laptop,2,474,NA
126,2023-09-06,Keyboard,NA,374,2
127,2023-09-10,Smartphone,5,1352,NA
105,2023-09-04,Laptop,5,837,4
119,2023-08-21,Smartphone,5,1915,4
127,2023-09-04,Headphones,8,1310,1
125,2023-09-10,Smartwatch,7,1411,2
128,2023-08-20,Smartwatch,10,87,3
125,2023-09-08,Keyboard,8,1034,3
109,2023-08-16,Tablet,9,100000,4
103,2023-08-19,Laptop,6,1632,NA
108,2023-08-22,Headphones,8,1155,4
126,2023-08-26,Keyboard,10,1951,3
107,2023-08-27,Laptop,9,244,3
110,2023-09-01,Keyboard,NA,728,1
109,2023-08-15,Laptop,2,1678,2
119,2023-09-08,Tablet,4,1033,2
104,2023-09-10,Keyboard,2,392,1
101,2023-08-15,Laptop,2,1200,4
103,2023-08-17,Tablet,3,300,NA
