ProductID,ProductDescription
1,Apple iPhone 13 Pro Max - 256GB - Sierra Blue (Unlocked)
2,Samsung Galaxy S22 Ultra 5G - 128GB - Phantom Black
3,Google Pixel 6a - 128GB - Charcoal (Unlocked) - Screen Protector Included
4,OnePlus 10 Pro 5G - 256GB - Volcanic Black
5,Motorola Moto G Power (2022) - 64GB - Ice Blue - Prepaid
6,Sony Xperia 1 IV 5G - 256GB - Purple
7,LG Velvet 5G - 128GB - Aurora Gray
8,Nokia G10 - 64GB - Dusk
9,Xiaomi Redmi Note 11 Pro+ 5G - 256GB - Graphite Gray
10,Asus ROG Phone 6 - 512GB - Phantom Black
11,Apple iPhone SE (3rd Gen) - 64GB - Midnight (Unlocked)
12,Samsung Galaxy A53 5G - 128GB - Awesome Blue
13,Google Pixel 7 Pro - 256GB - Obsidian
14,OnePlus Nord N20 5G - 128GB - Blue Quantum
15,Motorola Edge (2022) - 128GB - Lunar Blue
16,Sony Xperia 5 IV 5G - 128GB - Ecru White
17,LG Stylo 6 - 64GB - White
18,Nokia XR20 - 128GB - Granite Gray
19,Xiaomi Poco X4 Pro 5G - 256GB - Laser Black
20,Asus Zenfone 9 - 256GB - Moonlight White
