EmployeeID,Age,JobSatisfaction,WorkLifeBalance,Salary,PerformanceRating,InnovationScore,TrainingHours,AbsentDays,Department
Emp_001,34,7,8,65000,4,8,25,2,Marketing
Emp_002,28,6,6,55000,3,6,15,5,Sales
Emp_003,45,9,7,80000,5,9,30,1,Tech
Emp_004,22,5,5,48000,3,5,10,7,HR
Emp_005,39,8,9,72000,4,7,28,3,Marketing
Emp_006,31,7,7,60000,4,7,20,4,Sales
Emp_007,51,9,8,90000,5,9,35,0,Tech
Emp_008,25,6,5,50000,3,6,12,6,HR
Emp_009,37,8,8,68000,4,8,26,3,Marketing
Emp_010,29,7,6,58000,4,7,18,4,Sales
Emp_011,48,9,9,85000,5,9,32,1,Tech
Emp_012,23,5,4,49000,2,5,11,7,HR
Emp_013,35,8,7,66000,4,7,24,2,Marketing
Emp_014,27,6,6,54000,3,6,14,5,Sales
Emp_015,46,9,8,82000,5,9,31,0,Tech
Emp_016,24,5,5,47000,3,5,9,6,HR
Emp_017,38,8,9,70000,4,8,27,3,Marketing
Emp_018,30,7,7,59000,4,7,19,4,Sales
Emp_019,49,9,9,87000,5,9,33,1,Tech
Emp_020,26,6,5,51000,3,6,13,7,HR
Emp_021,36,8,8,67000,4,8,25,2,Marketing
Emp_022,28,7,7,56000,4,7,16,4,Sales
Emp_023,47,9,8,83000,5,9,32,0,Tech
Emp_024,21,5,4,46000,2,5,10,6,HR
Emp_025,40,8,9,74000,4,7,29,3,Marketing
Emp_026,32,7,7,61000,4,7,21,4,Sales
Emp_027,52,9,9,92000,5,9,36,1,Tech
Emp_028,25,6,5,52000,3,6,12,7,HR
Emp_029,39,8,8,71000,4,8,27,3,Marketing
Emp_030,31,7,6,60000,4,7,19,4,Sales
Emp_031,50,9,9,89000,5,9,34,0,Tech
Emp_032,22,5,4,47500,2,5,11,6,HR
Emp_033,37,8,7,69000,4,7,25,2,Marketing
Emp_034,29,6,6,57000,3,6,17,5,Sales
Emp_035,48,9,8,84000,5,9,33,1,Tech
Emp_036,23,5,5,48500,3,5,10,7,HR
Emp_037,36,8,9,68000,4,8,26,3,Marketing
Emp_038,30,7,7,58500,4,7,18,4,Sales
Emp_039,49,9,9,86000,5,9,34,0,Tech
Emp_040,24,6,5,49500,3,6,12,6,HR
Emp_041,35,8,8,67500,4,8,25,2,Marketing
Emp_042,27,7,7,55500,4,7,16,4,Sales
Emp_043,46,9,8,82500,5,9,32,1,Tech
Emp_044,21,5,4,46500,2,5,9,7,HR
Emp_045,38,8,9,71500,4,8,27,3,Marketing
Emp_046,31,7,7,59500,4,7,19,4,Sales
Emp_047,51,9,9,91500,5,9,35,0,Tech
Emp_048,25,6,5,52500,3,6,13,6,HR
Emp_049,39,8,8,70500,4,8,26,3,Marketing
Emp_050,32,7,6,59000,4,7,18,4,Sales
Emp_051,50,9,9,88500,5,9,34,1,Tech
Emp_052,22,5,4,47200,2,5,11,6,HR
Emp_053,37,8,7,69500,4,7,25,2,Marketing
Emp_054,28,6,6,56500,3,6,17,5,Sales
Emp_055,47,9,8,83500,5,9,33,0,Tech
Emp_056,24,5,5,48200,3,5,10,7,HR
Emp_057,36,8,9,68500,4,8,26,3,Marketing
Emp_058,30,7,7,57500,4,7,18,4,Sales
Emp_059,49,9,9,85500,5,9,34,0,Tech
Emp_060,26,6,5,51500,3,6,12,6,HR
Emp_061,35,8,8,67800,4,8,25,2,Marketing
