OrderID,OrderDate,OrderSeason,Region,StoreType,ProductCategory,ProductType,Product,UnitPrice,QuantityOrdered,DiscountPercent,SalesAmount,ProfitAmount,CustomerSegment,CustomerAge,PaymentMethod,ShippingMode,CustomerRating,
ORD3001,2023-11-15,Autumn,North,Flagship,Electronics,Technology,Laptop,1200,2,0.1,2160,648,Professionals,35,Credit Card,Express,4,
ORD3002,2023-11-15,Autumn,South,Mall,Clothing,Apparel,Jeans,80,3,0.05,228,68.4,Young Adults,28,Debit Card,Standard,3,
ORD3003,2023-11-20,Autumn,West,Outlet,Home Goods,Furniture,Coffee Table,250,1,0.2,200,60,Seniors,60,Cash,Standard,5,
ORD3004,2023-11-20,Autumn,East,Online,Electronics,Technology,Smartphone,900,1,0.15,765,229.5,40,Professionals,40,Online Payment,Express,4
ORD3005,2023-11-25,Autumn,North,Flagship,Clothing,Apparel,T-Shirt,25,5,0,125,37.5,Young Adults,22,Credit Card,Standard,2,
ORD3006,2023-11-25,Autumn,South,Mall,Home Goods,Decor,Desk Lamp,40,2,0.1,72,21.6,Professionals,55,Debit Card,Standard,3,
ORD3007,2023-11-30,Autumn,West,Outlet,Electronics,Technology,Tablet,500,1,0.25,375,112.5,Seniors,68,Cash,Express,5,
ORD3008,2023-11-30,Autumn,East,Online,Clothing,Apparel,Sweater,60,2,0,120,36,Young Adults,31,Online Payment,Standard,4,
ORD3009,2023-12-05,Winter,North,Flagship,Home Goods,Decor,Vase,30,4,0.05,114,34.2,Professionals,45,Credit Card,Standard,3,
ORD3010,2023-12-05,Winter,South,Mall,Electronics,Technology,Headphones,150,1,0,150,45,Young Adults,25,Debit Card,Express,2,
ORD3011,2023-12-10,Winter,West,Outlet,Clothing,Apparel,Pants,70,2,0.2,112,33.6,Seniors,62,Cash,Standard,4,
ORD3012,2023-12-10,Winter,East,Online,Home Goods,Decor,Cushion,20,6,0,120,36,Professionals,38,Online Payment,Standard,3,
ORD3013,2023-12-15,Winter,North,Flagship,Electronics,Technology,Camera,800,1,0.1,720,216,Young Adults,33,Credit Card,Express,5,
ORD3014,2023-12-15,Winter,South,Mall,Clothing,Apparel,Jacket,100,1,0.05,95,28.5,Professionals,48,Debit Card,Standard,4,
ORD3015,2023-12-20,Winter,West,Outlet,Home Goods,Furniture,Rug,300,1,0.25,225,67.5,Seniors,70,Cash,Standard,3,
ORD3016,2023-12-20,Winter,East,Online,Electronics,Technology,Smartwatch,300,2,0.15,510,153,Young Adults,29,Online Payment,Express,4,
ORD3017,2023-12-25,Winter,North,Flagship,Clothing,Apparel,Dress,90,2,0,180,54,Professionals,52,Credit Card,Standard,5,
ORD3018,2023-12-25,Winter,South,Mall,Home Goods,Decor,Mirror,50,3,0.05,142.5,42.75,Seniors,65,Debit Card,Standard,4,
ORD3019,2023-12-30,Winter,West,Outlet,Electronics,Technology,TV,1500,1,0.2,1200,360,Professionals,39,Cash,Express,3,
ORD3020,2023-12-30,Winter,East,Online,Clothing,Apparel,Skirt,40,4,0,160,48,Young Adults,26,Online Payment,Standard,2,
